wavenumber,NO2,SO2
821,5.067279395424712e-24,7.733944795265679e-28
822,4.3875754457545914e-24,7.693493690141368e-27
823,9.738885004637422e-25,8.29665598935769e-27
824,8.931616379317211e-25,1.9932135595384117e-26
825,5.388692152895634e-24,5.267221937353066e-26
826,3.510401050476224e-25,1.3255403230093872e-26
827,3.159215904556841e-24,1.8823542536069078e-27
828,1.4572289764995734e-24,3.2889514417677575e-27
829,3.960676937051045e-25,1.3282743370270826e-26
830,1.2336261428017921e-23,6.548462173161272e-28
831,1.6783538733582244e-23,4.569018888790184e-27
832,9.417720745112477e-24,3.211694726800033e-27
833,3.68452476762079e-23,1.1963676561898484e-27
834,2.2507393961397008e-24,1.8806865133735673e-28
835,7.331963600418588e-24,3.61336479369622e-27
836,1.7221977898049805e-24,1.1273002957427676e-27
837,4.2937653591943884e-24,2.9108017060266127e-28
838,4.326119147509454e-24,1.0339870681517065e-26
839,1.9086102449843097e-24,4.78167744080217e-27
840,5.431000903690251e-23,1.4733403722885815e-27
841,6.056953162622014e-25,2.3200460821846196e-27
842,1.2354043800459469e-23,8.31282040898856e-28
843,5.755662824262148e-25,7.525135178385357e-28
844,1.2926873987690183e-25,4.8898316723074354e-27
845,6.313668766422421e-23,6.259664573390117e-28
846,4.9063674463031174e-24,2.0169543939097846e-27
847,9.105972912640802e-24,2.165543851605432e-26
848,9.220939809168513e-25,7.403491724520026e-27
849,6.910043622847805e-23,6.537455943378264e-26
850,5.09e-23,4.494510350018471e-28
851,1.8641898880789765e-24,2.6696591655714733e-27
852,4.251077583151715e-24,4.504300723584799e-28
853,4.309132252261197e-23,2.302748852508955e-27
854,6.318035196664486e-23,2.5863518910249665e-26
855,2.1348004060595872e-24,1.3843046716047493e-27
856,2.0785193430428822e-24,1.600713822991799e-28
857,4.84646595105943e-24,5.48509098811339e-28
858,3.969772601282006e-23,5.482590405983118e-28
859,6.521930858579808e-23,6.50222398035564e-27
860,1.0085620452854114e-23,1.0580699632816397e-26
861,9.950296898403946e-26,3.6724296652792345e-27
862,3.4675115124166807e-23,1.7098309716552633e-27
863,2.4295406524247987e-25,2.6977910884353443e-27
864,4.778370939099583e-23,4.5152454902477145e-27
865,7.571292991646412e-25,1.0779725849088375e-26
866,3.4969977238240464e-25,1.6021835448162202e-28
867,2.1786514679277373e-24,1.2777954056871857e-27
868,1.9749566840124024e-24,1.9290820922835237e-26
869,3.59825732038697e-25,2.29621408858908e-26
870,6.100080150638043e-24,1.380451409929989e-27
871,4.456507448047548e-25,1.934989328909617e-27
872,6.558989192070663e-24,7.094835520627988e-27
873,1.530086772455926e-23,9.458996218949841e-27
874,1.2770373695261867e-24,1.534008618526754e-27
875,1.0978863356469172e-24,1.9589599928214267e-27
876,5.0249879457010375e-24,2.160337838677084e-27
877,6.5822577415873636e-24,9.240067373118984e-28
878,7.628896956613652e-24,1.1425265079979567e-27
879,4.6000465747674394e-24,1.232133351778209e-27
880,1.2931909547751185e-24,4.642830692246133e-28
881,8.219771250048422e-25,2.047148144949702e-28
882,4.62e-24,1.9266594607628992e-27
883,3.1388097120690556e-23,1.6796532568020078e-28
884,1.5644555097609682e-23,2.0179844452138846e-28
885,5.969668753645635e-24,2.9663807019901948e-27
886,2.1736941092973897e-25,2.4021147149091418e-28
887,4.163502951843044e-25,1.6518657948432924e-28
888,2.095002258704257e-23,1.4895445715515527e-27
889,3.620259039568936e-24,2.109462672373642e-28
890,2.4876905158555707e-24,3.7658974269239726e-28
891,1.5015308073347475e-23,2.8426202455823423e-28
892,1.359699485251402e-25,3.1957746559607895e-28
893,1.1699999999999998e-23,7.52939125176192e-28
894,4.942484968128862e-24,1.1530604994519166e-27
895,2.233358498879804e-24,3.045212303164688e-28
896,4.1565980251551516e-24,7.075997989052407e-28
897,5.018221735642067e-24,3.96972269115005e-28
898,4.097526310603161e-24,6.574094326958956e-28
899,3.663711676182081e-24,1.924818289085401e-27
900,1.57845618474226e-24,1.8016798538330668e-28
901,1.7831054324801476e-24,2.2360661031100326e-28
902,2.233915094606462e-24,2.5099556577193666e-27
903,1.8760889881833494e-23,3.127160455157531e-28
904,4.021863375013534e-24,4.215963223785465e-27
905,1.6936556859346268e-25,2.5733645847995606e-27
906,6.795207730921698e-24,2.9192563564534294e-27
907,6.2119313109050195e-25,5.260438974815962e-28
908,3.3655625002912876e-24,5.500597550093726e-28
909,3.351153612843497e-24,7.917199635271694e-27
910,7.918229510679185e-25,5.960820062343449e-28
911,2.823756560052598e-25,1.3793642502239492e-27
912,3.365479792082924e-24,9.46945396886416e-27
913,6.073601482184204e-24,1.6991212703039513e-27
914,1.540688173604527e-24,2.0741009357568336e-28
915,6.960638682443225e-25,5.270732322612713e-28
916,3.1213207565828886e-24,9.18165325059162e-28
917,5.859131290444484e-25,1.4185791059814713e-27
918,2.46e-24,6.548663575700157e-28
919,6.961922563082007e-25,8.857739478079914e-28
920,3.631693278690009e-25,2.1396942228117237e-28
921,1.0564960276223195e-24,1.707456843128554e-28
922,2.5514262202995683e-24,2.946810838222586e-28
923,7.81298332109447e-25,2.8763830126189826e-27
924,8.107508942434023e-24,1.1406188326953296e-27
925,1.281950878587956e-23,1.8248563813146555e-26
926,7.472991973487769e-25,2.09132181275008e-27
927,1.670175157820132e-24,1.1326116291834597e-28
928,4.4094852598194235e-24,5.81938590787715e-27
929,6.1326703440056566e-24,1.0646096199723983e-27
930,8.40408947349577e-24,1.5566965586451162e-28
931,1.0583225613679718e-23,1.1635568934971013e-28
932,2.4349489074942437e-24,4.108270313529984e-28
933,2.3343914965209605e-24,9.576864008896574e-28
934,2.0332369014964132e-24,3.1291337209383764e-27
935,2.74485167196474e-24,4.002882811409448e-27
936,6.679045579985015e-24,2.4478153679237472e-27
937,4.851069859889148e-25,1.5484929618766132e-28
938,1.7207558749287664e-24,2.4355345226796216e-27
939,1.4145277834375763e-24,9.473377336886176e-28
940,2.7022826554334793e-24,2.308120041135032e-28
941,3.901892680046983e-24,1.2281607661052872e-28
942,4.8298302299033094e-24,4.0170488990586287e-28
943,3.63e-25,6.259618598717873e-28
944,1.098419862292037e-24,1.267855410038161e-27
945,7.32889387312687e-24,5.617805271723299e-28
946,5.4296240369643615e-24,1.7051171809421337e-26
947,3.403842438353285e-24,1.3381746694012748e-27
948,2.3634772597937036e-24,5.927041179388092e-28
949,4.553968380601371e-24,1.5936501974194424e-28
950,4.721488482875246e-24,1.532910178695881e-26
951,4.427643071868722e-24,6.306422905173466e-28
952,2.332417944316272e-24,3.217876748591783e-27
953,1.137451239008776e-24,5.4224768491992785e-27
954,3.5612830255407844e-25,9.319416069443233e-27
955,4.63759967696796e-24,9.085197780980507e-27
956,3.406536570157621e-24,3.106882279256473e-27
957,1.54219800798355e-24,4.817338064929249e-27
958,4.19e-25,2.556521861773765e-27
959,1.5445255980570571e-24,1.2768008401431357e-27
960,2.6328552274933547e-24,2.474847283478439e-27
961,2.4539918221453468e-24,1.0950715837810249e-27
962,2.6500263094573808e-24,9.799829376836057e-28
963,3.5725866448148985e-24,2.0494016445379333e-28
964,3.38356511998191e-24,7.415633905052789e-28
965,3.2029149840421907e-24,4.092402826858812e-28
966,1.33782730124323e-24,4.136480464774103e-28
967,3.1494716141714535e-24,4.318367723263197e-28
968,2.9423718757927925e-24,1.6376193866238277e-28
969,2.740749891679959e-24,2.028490580813969e-28
970,4.003629160063546e-25,5.209133320141449e-28
971,2.2533234180986407e-24,8.548606441493675e-28
972,2.3173250873281767e-24,5.425867038160246e-28
973,1.7335800377653465e-24,1.4923915290557264e-28
974,1.9217054802158092e-24,2.1906989718583854e-28
975,1.7370056498779625e-24,3.3510385263921444e-28
976,1.562680357094991e-24,1.5520749491031108e-27
977,1.5455610801412467e-24,3.948144916535334e-28
978,1.319599387088899e-24,6.08764468745746e-28
979,1.1686247244338055e-24,3.266920811646399e-27
980,1.0216370451754706e-24,4.06046601659099e-27
981,2.0034874016536006e-24,2.266157904931021e-28
982,8.615102148312307e-25,4.431388926141137e-27
983,7.723398354739613e-25,8.610628571447866e-28
984,1.0400963759525324e-24,7.742053794093869e-28
985,1.30337635771228e-24,1.5041303901949427e-28
986,1.4828384717510077e-24,6.85670957134847e-27
987,8.645756577737616e-25,1.2946481643344083e-28
988,4.3156221727758185e-25,5.461921423724758e-27
989,1.087174058215237e-24,2.5237140468216724e-28
990,9.904295520949817e-25,8.400456031249675e-28
991,9.79863519366408e-25,1.3970804286414071e-28
992,9.38824118415323e-25,7.585731684084945e-27
993,7.849265200591412e-25,6.3904494161766904e-27
994,7.021780039172315e-25,4.576576630687722e-28
995,6.2445087361656405e-25,7.03951719308499e-27
996,5.524597308516224e-25,7.100513820276814e-28
997,5.292152166201434e-25,3.0880082840441705e-27
998,4.508320973185423e-25,1.1609687523536024e-26
999,3.9204601137935105e-25,4.89720972113991e-27
1000,3.393468483097023e-25,5.8620664217160614e-27
1001,3.242135554401504e-25,3.214650349661002e-27
1002,3.2274649972009585e-25,4.005262852970055e-26
1003,3.2127944400004135e-25,2.2276089582336077e-26
1004,3.1981238827998685e-25,3.963768567348896e-28
1005,3.183453325599323e-25,1.1501683913456816e-27
1006,3.168782768398778e-25,1.3904855537725175e-28
1007,3.154112211198233e-25,2.3485471264406262e-27
1008,3.139441653997688e-25,7.717492472310799e-28
1009,3.1247710967971426e-25,1.6225554365296314e-27
1010,3.1101005395965976e-25,8.668202916437693e-27
1011,3.0954299823960526e-25,8.167787495836693e-28
1012,3.080759425195507e-25,7.6946308891215955e-28
1013,3.066088867994962e-25,3.076719169832693e-28
1014,3.051418310794417e-25,3.483959412704841e-26
1015,3.0367477535938717e-25,5.967050308128247e-28
1016,3.0220771963933267e-25,1.5118570253610108e-27
1017,3.0074066391927817e-25,1.9874201815550577e-26
1018,2.9927360819922367e-25,1.903907528357232e-27
1019,2.9780655247916912e-25,4.41363661174723e-28
1020,2.9633949675911462e-25,1.0870566931410158e-28
1021,2.9487244103906012e-25,6.202411585356862e-28
1022,2.934053853190056e-25,5.317202742580164e-28
1023,2.919383295989511e-25,8.063196039420876e-26
1024,2.904712738788966e-25,7.122542394443708e-26
1025,2.8900421815884203e-25,4.740793939944405e-27
1026,2.8753716243878753e-25,2.1579979209968433e-28
1027,2.8607010671873303e-25,3.9105734074461485e-26
1028,2.846030509986785e-25,5.653097106962302e-28
1029,2.83135995278624e-25,8.71817708320008e-28
1030,2.816689395585695e-25,2.221236872389133e-26
1031,2.80201883838515e-25,8.313026145157447e-28
1032,2.7873482811846044e-25,9.050244998937127e-28
1033,2.7726777239840594e-25,3.2077106349174194e-25
1034,2.7580071667835144e-25,5.642162134578371e-27
1035,2.743336609582969e-25,1.3918235155047093e-25
1036,2.728666052382424e-25,1.3029049489633165e-25
1037,2.713995495181879e-25,1.393956112855598e-26
1038,2.699324937981334e-25,1.882085962690269e-27
1039,2.6846543807807885e-25,6.421465915471506e-25
1040,2.6699838235802435e-25,2.3190522362977615e-27
1041,2.6553132663796985e-25,9.125371039153178e-28
1042,2.640642709179153e-25,1.4846864349013406e-24
1043,2.625972151978608e-25,6.910858619892724e-28
1044,2.611301594778063e-25,3.0118720853037725e-27
1045,2.5966310375775176e-25,2.4222761385170308e-26
1046,2.5819604803769726e-25,4.508218357225492e-27
1047,2.5672899231764276e-25,3.449291979210428e-26
1048,2.552619365975882e-25,4.3655104461817935e-26
1049,2.537948808775337e-25,7.812916512131381e-27
1050,2.523278251574792e-25,8.675785281644305e-28
1051,2.5086076943742467e-25,1.1283170424066658e-25
1052,2.4939371371737017e-25,6.2512847349333615e-28
1053,2.4792665799731567e-25,1.1379140798859136e-27
1054,2.4645960227726113e-25,6.001312499953349e-27
1055,2.4499254655720663e-25,2.0138487697503676e-23
1056,2.4352549083715213e-25,1.918388804034781e-25
1057,2.4205843511709763e-25,2.860859958768946e-24
1058,2.405913793970431e-25,1.201931736899438e-25
1059,2.391243236769886e-25,2.139790766435182e-28
1060,2.376572679569341e-25,4.2363541302487626e-26
1061,2.361902122368796e-25,1.3259398425149382e-26
1062,2.3472315651682504e-25,1.2938570707779518e-24
1063,2.3325610079677054e-25,8.387081751852828e-28
1064,2.3178904507671604e-25,9.912249035535453e-27
1065,2.303219893566615e-25,1.1847209775966029e-27
1066,2.28854933636607e-25,7.4183438913771385e-28
1067,2.273878779165525e-25,5.106667777304313e-26
1068,2.2592082219649795e-25,2.5288073702054885e-28
1069,2.2445376647644345e-25,1.473645031872315e-27
1070,2.2298671075638895e-25,2.408899610229124e-26
1071,2.215196550363344e-25,8.021754545621531e-25
1072,2.200525993162799e-25,8.693676987512744e-28
1073,2.185855435962254e-25,2.1020068141978082e-26
1074,2.1711848787617085e-25,7.364016214478764e-25
1075,2.1565143215611635e-25,7.5079899586125645e-28
1076,2.1418437643606185e-25,1.6675758690074623e-27
1077,2.127173207160073e-25,1.0921870284569907e-27
1078,2.1125026499595286e-25,4.6687930655747605e-26
1079,2.097832092758983e-25,9.28303767483094e-27
1080,2.0831615355584376e-25,1.4157881872326544e-27
1081,2.068490978357893e-25,3.578514206035282e-26
1082,2.0538204211573476e-25,3.3431169602915115e-25
1083,2.0391498639568024e-25,1.1137593621860763e-26
1084,2.0244793067562574e-25,3.24242638308675e-22
1085,2.0098087495557122e-25,3.8252584635582987e-25
1086,1.9951381923551672e-25,8.230502667535699e-25
1087,1.980467635154622e-25,1.136222982180998e-27
1088,1.9657970779540767e-25,1.150136276451235e-27
1089,1.9511265207535317e-25,6.149381070889429e-24
1090,1.9364559635529865e-25,6.474939697072081e-25
1091,1.9217854063524415e-25,4.304688666210204e-25
1092,1.9071148491518963e-25,6.635516262128915e-23
1093,1.892444291951351e-25,2.1377695359298506e-22
1094,1.877773734750806e-25,3.407367313818525e-26
1095,1.8631031775502608e-25,2.791195209499225e-25
1096,1.8484326203497158e-25,8.163657831121072e-26
1097,1.8337620631491706e-25,3.4980902517441785e-27
1098,1.8190915059486254e-25,6.172325243549557e-28
1099,1.8044209487480804e-25,3.326245312497276e-24
1100,1.7897503915475352e-25,2.82526185106682e-27
1101,1.7750798343469902e-25,1.1336731329057974e-24
1102,1.760409277146445e-25,7.216796791279737e-26
1103,1.7457387199458997e-25,2.4897330481060575e-23
1104,1.7310681627453547e-25,3.0090470037141114e-24
1105,1.7163976055448095e-25,5.737713235135165e-24
1106,1.7017270483442643e-25,3.433732620349398e-26
1107,1.6870564911437193e-25,1.138717577781202e-24
1108,1.672385933943174e-25,3.4549309546816406e-25
1109,1.657715376742629e-25,9.10579894037344e-25
1110,1.6430448195420838e-25,1.5634891586745492e-25
1111,1.6283742623415386e-25,4.090932074457353e-24
1112,1.6137037051409936e-25,1.4346926571889201e-27
1113,1.5990331479404483e-25,3.425879185399718e-26
1114,1.5843625907399034e-25,1.4197363043906297e-22
1115,1.5696920335393581e-25,1.9719118259640985e-26
1116,1.555021476338813e-25,4.861207290522271e-27
1117,1.540350919138268e-25,1.2497234260501496e-25
1118,1.5256803619377227e-25,4.7492310415289705e-25
1119,1.5110098047371777e-25,2.1984548242580006e-24
1120,1.4963392475366324e-25,4.5895365280111044e-26
1121,1.4816686903360872e-25,8.106400797323666e-25
1122,1.4669981331355422e-25,1.5441105171872917e-24
1123,1.452327575934997e-25,7.718494290431046e-23
1124,1.437657018734452e-25,8.825072343691827e-26
1125,1.4229864615339068e-25,2.448707499223921e-26
1126,1.4083159043333615e-25,1.6606236946910835e-25
1127,1.3936453471328165e-25,5.801312384115524e-24
1128,1.3789747899322713e-25,6.802838245001541e-23
1129,1.364304232731726e-25,4.269935483860976e-26
1130,1.349633675531181e-25,1.4200085453818437e-22
1131,1.3349631183306359e-25,2.0114718267097603e-25
1132,1.3202925611300909e-25,2.2734886838266983e-24
1133,1.3056220039295456e-25,7.536341536155114e-25
1134,1.2909514467290004e-25,7.81849936002471e-25
1135,1.2762808895284554e-25,4.209224903244892e-24
1136,1.2616103323279102e-25,8.71529671720232e-26
1137,1.2469397751273652e-25,2.6259796809917785e-23
1138,1.23226921792682e-25,5.098725219554239e-24
1139,1.2175986607262747e-25,3.786649289394023e-25
1140,1.2029281035257297e-25,1.1655232853155359e-25
1141,1.1882575463251845e-25,1.3117377313823326e-21
