nu,sw
413.161207,3.698e-77
413.184461,1.361e-83
413.202885,2.415e-87
413.270489,5.286e-84
413.329721,1.315e-80
413.379509,3.687e-77
413.451014,4.409e-56
413.499673,5.2720000000000005e-84
413.553646,1.311e-80
413.64894,4.371e-56
413.651168,5.7009999999999996e-92
414.059725,9.552e-93
414.112298,3.5749999999999997e-90
414.159244,3.55e-90
414.194065,3.935e-90
414.229253,3.9329999999999995e-90
414.326392,7.274e-88
414.419316,3.448e-45
414.61315,3.521e-45
414.686191,3.684e-97
414.697101,1.139e-59
414.755538,1.351e-83
414.756074,1.923e-95
414.804107,1.91e-95
414.830587,1.422e-88
414.834221,2.111e-95
414.868292,2.176e-97
414.870506,2.11e-95
414.902635,1.132e-59
414.969018,5.87e-98
415.135417,2.1709999999999998e-97
415.161041,4.867e-86
415.207424,4.833e-86
415.245121,5.403e-86
415.279735,5.400000000000001e-86
415.354104,9.025e-85
415.687534,9.478e-93
415.767488,2.715e-63
415.980346,2.701e-63
416.067733,1.563e-93
416.089929,2.496e-50
416.109138,3.105e-94
416.14462,5.522e-91
416.192082,5.482e-91
416.224983,6.073e-91
416.260685,6.069999999999998e-91
416.292275,2.319e-50
416.37264,3.098e-94
416.436166,1.4109999999999998e-88
416.46062,4.148e-36
416.63123,5.825e-98
416.656377,6.59e-67
416.657242,4.172e-36
416.690016,2.822e-96
416.738575,2.8020000000000002e-96
416.766823,3.095e-96
416.803631,3.094e-96
416.876264,6.562e-67
416.885109,9.173e-99
416.912424,2.644e-89
416.937409,8.961e-85
417.04548,5.14e-91
417.271543,8.923e-87
417.304911,5.127e-91
417.318435,8.86e-87
417.354175,9.882e-87
417.356934,1.706e-70
417.389298,9.876e-87
417.508451,3.393e-86
417.583538,1.7e-70
417.596399,6.082999999999999e-53
417.700104,9.816e-88
417.707764,1.551e-93
417.80701,5.996e-53
417.861119,4.831e-74
417.955035,9.79e-88
418.059442,2.5169999999999997e-94
418.092872,2.15e-84
418.094108,4.815e-74
418.158447,8.386999999999999e-92
418.159494,1.52e-77
418.206428,8.328e-92
418.23743,9.218e-92
418.24103,5.372e-81
418.27365,9.214e-92
418.342891,2.144e-84
418.376144,9.045999999999999e-41
418.398526,1.515e-77
418.485744,5.356e-81
418.530231,2.623e-89
418.559545,9.103e-99
418.581893,9.136999999999999e-41
418.604949,4.091e-97
418.654038,4.062e-97
418.680437,4.485e-97
418.717774,4.4839999999999997e-97
418.784314,1.417e-99
418.935167,2.026e-56
418.978388,4.7419999999999995e-90
419.10399,3.372e-86
419.153781,2.0090000000000002e-56
419.296762,8.684e-98
419.363926,1.558e-87
419.411333,1.547e-87
419.445138,1.722e-87
419.480774,1.721e-87
419.585277,8.662e-98
419.647346,3.816e-90
419.711702,2.498e-94
420.034699,3.994e-95
420.102031,4.978e-60
420.132124,8.478e-46
420.153654,1.254e-92
420.20216,1.245e-92
420.231281,1.377e-92
420.268025,1.377e-92
420.328371,4.947e-60
420.346773,8.716e-46
420.470979,1.406e-99
420.500746,5.864e-98
420.55037,5.822e-98
420.574938,6.425e-98
420.608429,4.705e-90
420.612808,6.423000000000001e-98
420.637887,1.239e-94
420.922783,1.2359999999999998e-94
421.028324,8.247e-91
421.092029,1.154e-63
421.255124,4.0149999999999995e-90
421.325803,1.148e-63
421.43807,2.615e-88
421.485996,2.596e-88
421.517886,2.886e-88
421.55404,2.8839999999999995e-88
421.671369,2.054e-91
421.699193,3.964e-95
421.725959,2.802e-50
421.770632,6.258999999999999e-88
421.899294,2.751e-67
421.949266,2.679e-50
421.952185,2.048e-91
421.993347,6.249e-96
422.130118,1.847e-93
422.140193,2.739e-67
422.179153,1.833e-93
422.206413,2.027e-93
422.243685,2.026e-93
422.322297,1.433e-36
422.377283,8.309e-99
422.420353,3.93e-88
422.427446,8.25e-99
422.450199,9.1e-99
422.488608,9.098e-99
422.516898,7.032000000000001e-71
422.539966,1.442e-36
422.670604,8.182e-91
422.696648,3.919e-88
422.764599,7.005e-71
422.905014,8.634e-85
422.936684,1.973e-74
423.062079,1.396e-91
423.14287,2.166e-81
423.149075,6.162e-78
423.154609,3.051e-53
423.176365,8.61e-85
423.190846,1.966e-74
423.386316,3.011e-53
423.390655,6.199e-88
423.408874,2.159e-81
423.409344,6.142e-78
423.493852,4.242e-89
423.542301,4.212e-89
423.572298,4.676e-89
423.608973,4.674e-89
423.67008,6.201000000000001e-96
423.711137,3.425e-98
423.878156,3.649e-88
423.935232,9.641e-97
424.02153,3.416e-98
424.087715,2.68e-94
424.137284,2.661e-94
424.162299,2.8539999999999995e-41
424.162701,2.94e-94
424.200505,2.939e-94
424.234433,1.165e-99
424.28514,1.156e-99
424.306095,1.275e-99
424.345047,1.274e-99
424.389258,2.887e-41
424.414491,9.101e-57
424.654328,9.027e-57
424.716604,1.385e-91
425.079497,2.305e-92
425.153402,4.887e-95
425.460182,4.874e-95
425.50137,2.136e-60
425.510429,3.617e-88
425.53115,6.686e-90
425.580127,6.638e-90
425.608249,7.361e-90
425.624212,9.567e-97
425.645451,7.358e-90
425.749046,2.123e-60
425.841732,1.751e-46
425.860203,1.468e-97
425.969763,1.161e-88
426.026323,3.836e-95
426.076429,3.808e-95
426.077746,1.821e-46
426.100021,4.205e-95
426.138362,4.204e-95
426.284852,8.105e-92
426.410228,4.824e-64
426.587548,8.081999999999999e-92
426.665442,4.8e-64
426.746273,2.287e-92
427.080427,3.724e-93
427.128995,1.5529999999999995e-88
427.135123,1.131e-67
427.358002,2.171e-50
427.397555,1.126e-67
427.427153,1.549e-88
427.549844,1.027e-90
427.561433,1.456e-97
427.599353,1.02e-90
427.602816,2.1e-50
427.614291,1.151e-88
427.625619,1.129e-90
427.663352,1.129e-90
427.669031,2.8570000000000003e-71
427.706327,3.423e-85
427.768106,2.205e-98
427.938347,2.846e-71
427.945817,5.417e-96
427.996466,5.378e-96
427.999514,3.413e-85
428.003679,7.943e-75
428.01825,5.935e-96
428.034645,8.618999999999998e-82
428.0453,2.874e-89
428.057132,5.933e-96
428.110876,1.335e-98
428.129342,2.4650000000000003e-78
428.181633,4.82e-37
428.279528,7.916e-75
428.322446,8.592e-82
428.411358,2.4570000000000003e-78
428.420908,4.855e-37
428.443635,1.331e-98
428.708061,1.4719999999999996e-53
428.759458,3.695e-93
428.961406,1.4529999999999996e-53
429.064715,5.894999999999999e-94
429.481593,2.188e-98
429.54981,1.541e-91
429.599857,1.53e-91
429.624286,1.693e-91
429.655135,1.904e-95
429.65879,3.2710000000000003e-99
429.662554,1.693e-91
429.70209,2.85e-89
429.846074,7.55e-97
429.888302,3.999e-57
429.897271,7.496e-97
429.917262,8.268e-97
429.94531,8.607000000000001e-42
429.956691,8.265e-97
429.984293,1.899e-95
430.104616,6.174999999999999e-90
430.149896,3.967e-57
430.194036,8.723e-42
430.756009,5.849e-94
430.885373,3.16e-92
430.894451,9.003e-61
431.032213,9.156e-95
431.163996,8.949e-61
431.210445,3.151e-92
431.38454,3.246e-99
431.530929,2.265e-92
431.547415,2.595e-47
431.581517,2.248e-92
431.604126,2.486e-92
431.642936,2.485e-92
431.721432,1.985e-64
431.726971,1.039e-97
431.773673,6.125e-90
431.778721,1.032e-97
431.796935,1.137e-97
431.805343,2.769e-47
431.825467,6.065e-89
431.836916,1.137e-97
431.998613,1.975e-64
432.14599,6.047e-89
432.14756,1.209e-90
432.363227,4.5819999999999995e-68
432.495443,5.144e-99
432.49624,1.34e-85
432.647716,4.562e-68
432.735774,9.084e-95
432.811767,1.3350000000000002e-85
432.812715,1.144e-71
432.851063,5.13e-99
432.915772,3.385e-82
432.982768,1.397e-95
432.985355,1.394e-50
433.061496,3.155e-75
433.0997,9.727e-79
433.104165,1.14e-71
433.225876,3.374e-82
433.252221,1.357e-50
433.359547,3.144e-75
433.403974,9.694e-79
433.493079,3.263e-93
433.544214,3.239e-93
433.565019,3.58e-93
433.588386,1.413e-98
433.604374,3.578e-93
433.640693,1.403e-98
433.657145,1.546e-98
433.697682,1.545e-98
433.828889,1.199e-90
434.037876,1.576e-37
434.142546,7.333e-96
434.173982,2.213e-91
434.25607,6.858e-54
434.29932,1.589e-37
434.494579,7.312e-96
434.531595,6.778e-54
434.698602,1.386e-95
434.916232,2.0960000000000007e-96
435.355933,1.72e-57
435.430194,1.898e-99
435.436138,4.618e-94
435.472386,1.2169999999999999e-92
435.483064,1.885e-99
435.487825,4.584e-94
435.497768,2.076e-99
435.506843,5.061999999999999e-94
435.538866,2.075e-99
435.546747,5.06e-94
435.639822,1.707e-57
435.724452,2.46e-42
435.820334,1.213e-92
435.867589,2.196e-91
435.995501,2.5e-42
436.183733,3.848e-92
436.280623,3.73e-61
436.509217,2.339e-89
436.57257,3.707e-61
436.644345,2.0790000000000002e-96
436.832456,3.094e-97
436.852605,2.332e-89
436.864317,1.959e-99
437.025008,8.044e-65
437.243292,1.954e-99
437.248467,1.438e-48
437.274191,5.176e-86
437.324685,8.003e-65
437.359987,6.424000000000001e-95
437.412229,6.377e-95
437.429475,7.037e-95
437.469935,7.035e-95
437.528861,1.709e-48
437.582989,1.829e-68
437.612564,5.16e-86
437.785678,1.312e-82
437.889624,3.817e-92
437.890056,1.8209999999999999e-68
437.947342,4.5190000000000003e-72
438.059566,3.788e-79
438.109542,1.236e-75
438.118597,1.308e-82
438.176665,6.414e-93
438.261446,4.501e-72
438.386612,3.775e-79
438.430311,1.231e-75
438.572855,3.07e-97
438.60733,7.957e-51
438.615107,2.79e-96
438.731293,4.5e-98
438.896796,7.782e-51
438.990513,2.7820000000000007e-96
439.264503,8.795e-96
439.317307,8.731e-96
439.332796,9.628000000000001e-96
439.373816,9.625e-96
439.797971,3.0979999999999996e-54
439.890304,4.997e-38
439.894846,6.363e-93
440.045356,4.63e-93
440.096218,3.064e-54
440.15263,1.032e-93
440.174476,5.042e-38
440.416682,4.616e-93
440.483982,4.465e-98
440.612595,6.45e-99
440.816733,7.25e-58
441.123457,7.194e-58
441.149567,1.186e-96
441.179701,8.906e-90
441.202936,1.177e-96
441.216683,1.297e-96
441.258267,1.297e-96
441.499021,6.577e-43
441.546461,8.877999999999999e-90
441.659253,1.519e-61
441.792948,6.707e-43
441.883107,1.024e-93
441.974134,1.51e-61
442.039628,1.975e-86
442.111483,1.6129999999999998e-94
442.320336,3.208e-65
442.377581,6.4e-99
442.401356,1.969e-86
442.64304,3.1920000000000007e-65
442.643805,5.022e-83
442.7938,7.192e-69
442.944204,2.138e-49
443.000051,5.005e-83
443.008373,1.4560000000000002e-79
443.015058,1.576e-97
443.068998,1.565e-97
443.072297,1.049e-96
443.072319,1.759e-72
443.081016,1.723e-97
443.12317,1.723e-97
443.123976,7.16e-69
443.147235,4.776e-76
443.247616,1.553e-49
443.358705,1.45e-79
443.4096,1.752e-72
443.471577,1.046e-96
443.491241,4.758e-76
443.854262,1.6e-94
444.053077,2.453e-95
444.223262,4.182e-51
444.535875,4.102e-51
444.603755,1.741e-93
444.860855,2.066e-98
444.91537,2.051e-98
444.925674,2.257e-98
444.968401,2.257e-98
444.998965,1.735e-93
445.333113,1.3609999999999998e-54
445.654625,1.346e-54
445.738208,1.532e-38
445.808163,2.433e-95
445.836385,3.3499999999999998e-90
445.977268,3.6430000000000003e-96
446.045672,1.548e-38
446.227025,3.3389999999999997e-90
446.270069,2.9960000000000007e-58
446.600166,2.973e-58
446.686838,2.6710000000000003e-99
446.741934,2.652e-99
446.750535,2.918e-99
446.792012,7.441e-87
446.793842,2.917e-99
447.029722,6.083e-62
447.177605,7.416e-87
447.268328,1.6090000000000001e-43
447.368075,6.046e-62
447.489602,1.897e-83
447.513599,3.9e-97
447.585692,1.649e-43
447.606811,1.26e-65
447.744668,3.615e-96
447.869688,1.89e-83
447.883912,5.296e-97
447.937259,3.888e-97
447.945558,5.519e-80
447.953074,1.254e-65
447.995071,2.788e-69
448.174008,1.821e-76
448.187066,6.754e-73
448.319696,5.499e-80
448.348882,2.775e-69
448.541773,1.814e-76
448.54805,6.726e-73
448.633957,1.025e-48
448.960941,9.398e-49
449.147067,6.466e-94
449.566667,6.445e-94
449.663631,5.255e-97
449.772865,7.548e-98
449.832501,2.064e-51
450.16881,2.028e-51
450.478744,1.245e-90
450.860862,5.8190000000000006e-55
450.893775,1.241e-90
451.206185,5.76e-55
451.530809,2.769e-87
451.564909,7.489e-98
451.580904,4.523e-39
451.643984,1.056e-98
451.715322,1.2140000000000001e-58
451.912221,4.577e-39
451.93851,1.433e-97
451.940782,2.759e-87
452.069334,1.205e-58
452.32253,7.074e-84
452.38706,1.428e-97
452.391425,2.396e-62
452.726975,7.049e-84
452.753785,2.381e-62
452.870576,2.066e-80
452.883843,4.874e-66
453.031708,3.46e-44
453.186222,1.065e-69
453.189302,6.847e-77
453.254197,4.848e-66
453.269039,2.058e-80
453.291015,2.557e-73
453.373068,3.579e-44
453.44836,1.048e-98
453.497129,1.453e-99
453.564198,1.06e-69
453.581349,6.82e-77
453.674777,2.373e-94
453.676229,2.546e-73
454.119282,2.365e-94
454.317076,1.112e-48
454.668186,1.056e-48
455.106262,4.569e-91
455.313842,1.441e-99
455.434412,9.677e-52
455.546201,4.554e-91
455.794968,9.525e-52
456.255497,1.017e-87
456.346532,5.202e-98
456.3806,2.429e-55
456.690369,1.014e-87
456.75028,2.405e-55
456.820482,5.185e-98
457.14206,2.605e-84
457.151888,4.831e-59
457.417723,1.279e-39
457.530357,4.795e-59
457.571384,2.595e-84
457.743771,9.283e-63
457.77346,1.297e-39
457.782888,7.628999999999998e-81
458.130679,9.226e-63
458.150851,1.857e-66
458.186386,8.608e-95
458.19257,2.54e-77
458.206201,7.598999999999998e-81
458.366684,4.009e-70
458.383611,9.546e-74
458.545833,1.847e-66
458.609427,2.53e-77
458.656309,8.578e-95
458.76936,3.9900000000000005e-70
458.788511,6.018e-45
458.793584,9.504e-74
459.154427,6.326e-45
459.718432,1.6569999999999998e-91
459.992928,8.072e-49
460.183795,1.651e-91
460.368722,7.774e-49
460.737172,1.867e-98
460.965563,3.691e-88
461.028379,4.348e-52
461.23704,1.861e-98
461.413734,4.284e-52
461.425853,3.678e-88
461.891722,9.901e-56
461.94767,9.467e-85
462.286309,9.806e-56
462.402396,9.431e-85
462.579177,1.887e-59
462.681398,3.085e-95
462.681966,2.781e-81
462.982649,1.873e-59
463.086182,3.5390000000000004e-63
463.130655,2.77e-81
463.177257,3.074e-95
463.183276,9.299e-78
463.248017,3.437e-40
463.407271,6.966e-67
463.464308,3.514e-74
463.498181,3.517e-63
463.535905,1.488e-70
463.625471,9.26e-78
463.628737,3.494e-40
463.82742,6.929e-67
463.899571,3.499e-74
463.963814,1.481e-70
464.314755,5.936e-92
464.538103,6.6760000000000006e-46
464.806062,5.914e-92
464.929136,7.316e-46
465.109946,6.625e-99
