wavenumber,NO,NO2,SO2
728.0,1.2975572895506974e-67,2.4205814686183375e-23,9.244871029825923e-28
729.0,5.14522464336114e-82,8.487464219672727e-24,7.454852891397458e-28
730.0,1.836769389098134e-68,3.2251820034131418e-24,4.084827067219716e-28
731.0,7.08943678384115e-83,1.040265120666023e-23,1.1453471517932424e-27
732.0,4.9669395830875974e-73,3.378319018402759e-24,4.278017515290883e-27
733.0,8.278685955141841e-78,7.34142451868663e-24,1.3661712193559184e-27
734.0,2.544006176591439e-73,3.056596374602717e-24,2.0649010945855376e-27
735.0,8.29741783120424e-74,1.653640781676896e-24,2.7932056968332886e-27
736.0,4.508724482814207e-83,2.9945750969029853e-24,4.779197411015664e-27
737.0,6.208293983758865e-74,4.012573388657472e-23,1.2850198697064694e-28
738.0,1.1775240504474467e-83,6.355867053871193e-23,1.8772570501190763e-27
739.0,5.7184795194244235e-84,4.41e-24,2.6408392214878905e-27
740.0,2.0756501245897096e-74,3.280306967770773e-23,3.4962377718069848e-28
741.0,6.968995862944739e-75,2.17414120302519e-24,5.205484487701376e-28
742.0,1.833330739422687e-79,2.3708766535568772e-24,3.0562062932939948e-27
743.0,7.852212885761529e-70,1.9391327377155766e-24,2.7945107719878927e-27
744.0,1.6861050451480156e-74,3.2264107739027065e-23,2.6390851437298683e-28
745.0,1.0867697233781405e-79,2.554138172349258e-23,1.6482010342620341e-28
746.0,1.8596361143513624e-75,6.960874808230551e-24,1.8723881580465914e-27
747.0,8.13416876231203e-85,2.0042593214643563e-24,6.700363335936351e-28
748.0,1.2601575693435923e-70,1.2563453133150246e-23,5.130496173169908e-28
749.0,2.314002767133197e-75,4.7115481331572045e-25,1.1672972252461348e-28
750.0,4.185787169419135e-71,6.112624753559135e-25,2.2221179237091077e-28
751.0,4.357881181243841e-76,8.938723907017748e-24,1.9659254460787327e-27
752.0,2.2329737783073715e-71,3.2803416461544027e-24,2.3802719975638257e-28
753.0,1.2493355251598025e-76,2.0200229046471423e-24,3.8062765877036134e-28
754.0,3.5224948445502896e-81,2.507222166296873e-24,1.4425921668502536e-28
755.0,1.713468543503458e-72,3.785318141771232e-25,3.0779006168608548e-28
756.0,1.400692238853909e-81,1.4209336513447505e-24,8.27158109129035e-28
757.0,1.9081429347762328e-73,1.0740608989629564e-23,5.3628443459968145e-28
758.0,1.9660391003614602e-91,2.9917796610216118e-24,6.124053240479383e-28
759.0,7.250572821167956e-82,1.5329402860039425e-23,3.2045232028882744e-28
760.0,1.2758050902960617e-73,4.601550753374744e-23,1.1495699069308123e-27
761.0,3.734273135727821e-83,1.3195066604708728e-23,2.256682891017006e-28
762.0,6.133780382884191e-74,4.8688374740768503e-23,1.5081754550136369e-28
763.0,6.835955902775194e-78,3.5259167944688085e-24,1.1876534408955505e-28
764.0,1.66134546242392e-73,1.875232974911028e-25,3.296168831168778e-28
765.0,2.240314135377958e-83,7.532201477998667e-25,2.3924300818107263e-28
766.0,1.052045924689411e-93,2.735673694805024e-24,4.188706573623076e-28
767.0,2.1683604144838843e-73,6.201992917847221e-24,6.473799961687531e-28
768.0,3.361599473583563e-83,7.887943821651073e-24,4.637081790265121e-28
769.0,3.2261282644386335e-74,2.0620417822829303e-23,2.600610458419689e-28
770.0,3.313217142534465e-94,2.088234913786388e-23,3.8639557468648472e-28
771.0,2.359289118483816e-93,1.1274087720298768e-23,1.6584778675517879e-28
772.0,2.19127714244446e-74,1.8023727127482167e-23,3.2165299950434865e-28
773.0,1.614652092399825e-89,5.474562567335362e-24,1.7041856122021212e-28
774.0,7.507590412341557e-80,1.7694308643796313e-24,2.594367403654847e-28
775.0,4.649902035877147e-94,8.182571773009021e-25,1.2221915626344125e-28
776.0,2.0511907727753817e-89,4.471498813255411e-25,1.7798835797274328e-28
777.0,3.352108657114809e-80,8.222715000731864e-25,2.755033556091855e-28
778.0,1.2828730740132374e-76,2.094303030252394e-25,1.0066375381094938e-28
779.0,7.261514375970938e-82,2.1841057567258466e-24,3.787296791579036e-28
780.0,1.7379078651315601e-90,2.422612068415561e-23,1.0224706317080054e-28
781.0,1.8479805668706292e-85,6.520433873971196e-23,2.448532148395461e-28
782.0,4.832826396425337e-81,3.2188685153472302e-24,1.5323475954134484e-28
783.0,9.573082765916421e-77,7.302903395253316e-24,2.151448805461072e-28
784.0,2.0230725306844625e-91,5.884319395861102e-25,1.2204563502872438e-28
785.0,3.708146023903595e-91,8.739473580094629e-25,2.188623490319341e-28
786.0,2.2093615916339856e-81,1.809638497727926e-24,3.940504350267159e-28
787.0,1.8798497820504658e-87,1.3151387458356576e-24,1.0678468221808345e-28
788.0,2.883503185801075e-92,7.274655713610658e-25,4.184089159371576e-28
789.0,7.910303577196436e-92,6.692283448068735e-24,1.4722483900649505e-28
790.0,7.813247684923128e-83,1.369936720554532e-23,5.060822013398535e-28
791.0,5.55131758590185e-88,1.5179576134275855e-23,2.348614699542316e-28
792.0,4.719913582737056e-78,1.1556674950874404e-23,1.491549470895062e-28
793.0,1.602839710453462e-92,1.0052653586059212e-24,6.062247648915417e-28
794.0,6.016037569934914e-88,7.339064219772008e-24,2.5663815551546296e-28
795.0,3.524730930472999e-83,3.8259248926907135e-24,3.340791411041477e-28
796.0,8.878862604315095e-84,6.700621424869733e-24,2.413492855705969e-28
797.0,1.5926832676729197e-79,4.162806349825854e-25,2.776274110138929e-28
798.0,5.953387216731942e-89,3.10339391145959e-23,4.023642649402035e-28
799.0,4.1068788437813775e-89,2.4795752761105433e-23,2.145530831101087e-28
800.0,4.8998142885090825e-79,2.364841967327497e-25,1.9426802112074382e-28
801.0,1.170762234358015e-79,5.066597340147262e-24,1.3263882330625771e-27
802.0,6.9805757546493e-90,9.969539134396441e-24,2.3523925564449286e-28
803.0,8.066599318858403e-90,2.0738186025370175e-24,3.1250933405522737e-27
804.0,4.26210556405546e-80,1.4746055621572386e-24,2.9189822506212813e-28
805.0,1.205995528771668e-85,1.3429134458547827e-24,4.187473736295304e-27
806.0,9.411699947025465e-91,5.3639240506353884e-24,3.7192548800885357e-28
807.0,3.47924867173528e-90,1.6023958292579753e-23,3.1759141077670387e-27
808.0,1.6322423159437e-85,4.984531410911108e-25,1.3723382325979278e-28
809.0,3.318646548776494e-86,3.806103315093698e-24,7.294586908569079e-27
810.0,2.605758202916499e-81,1.898148198228493e-23,4.401355113148788e-28
811.0,4.4963742711953556e-82,5.834296338716782e-23,1.1785926986296048e-27
812.0,1.4081118820594774e-86,9.420366055083702e-24,1.716475247528406e-28
813.0,1.4879146949918178e-86,2.9950713188502372e-24,3.662415360774691e-27
814.0,2.792441578300485e-82,4.4265012546317694e-23,2.292441121486063e-27
815.0,1.476538263787226e-82,1.568916277402095e-24,1.2003791542032729e-27
816.0,1.379807393278878e-87,1.874969934095557e-23,1.8758713356541378e-28
817.0,3.7410401362401525e-87,1.4225503685506512e-24,1.0552999999778204e-26
818.0,3.501214414344205e-82,1.5699999999999997e-23,7.6087517880537e-27
819.0,3.763853851654205e-83,9.623264506263689e-23,4.398299700866747e-27
820.0,1.5508273631473883e-88,1.4216541144760794e-23,3.202337445779001e-26
821.0,7.219321328975907e-88,5.067279395424712e-24,7.733944795265679e-28
822.0,3.8366891369253535e-83,4.3875754457545914e-24,7.693493690141368e-27
823.0,8.970085977464652e-84,9.738885004637422e-25,8.29665598935769e-27
824.0,2.1543048072058258e-94,8.931616379317211e-25,1.9932135595384117e-26
825.0,4.0184534553425785e-95,5.388692152895634e-24,5.267221937353066e-26
826.0,2.6558529322017207e-84,3.510401050476224e-25,1.3255403230093872e-26
827.0,4.844152269172027e-84,3.159215904556841e-24,1.8823542536069078e-27
828.0,2.9015545725912084e-90,1.4572289764995734e-24,3.2889514417677575e-27
829.0,1.1864456866662673e-89,3.960676937051045e-25,1.3282743370270826e-26
830.0,1.799506028614215e-85,1.2336261428017921e-23,6.548462173161272e-28
831.0,1.3379474358650125e-84,1.6783538733582244e-23,4.569018888790184e-27
832.0,3.510676266794783e-91,9.417720745112477e-24,3.211694726800033e-27
833.0,1.5533549892653842e-90,3.68452476762079e-23,1.1963676561898484e-27
834.0,1.1517823429333693e-86,2.2507393961397008e-24,1.8806865133735673e-28
835.0,1.48485339148877e-85,7.331963600418588e-24,3.61336479369622e-27
836.0,2.5213941500773462e-86,1.7221977898049805e-24,1.1273002957427676e-27
837.0,1.2224687974945344e-86,4.2937653591943884e-24,2.9108017060266127e-28
838.0,4.9489911028952286e-92,4.326119147509454e-24,1.0339870681517065e-26
839.0,1.1693895680643915e-92,1.9086102449843097e-24,4.78167744080217e-27
840.0,3.9002777222767858e-87,5.431000903690251e-23,1.4733403722885815e-27
841.0,1.9031285689955274e-87,6.056953162622014e-25,2.3200460821846196e-27
842.0,2.6849816074809033e-92,1.2354043800459469e-23,8.31282040898856e-28
843.0,5.639447897630514e-93,5.755662824262148e-25,7.525135178385357e-28
844.0,2.437539519168973e-87,1.2926873987690183e-25,4.8898316723074354e-27
845.0,2.828835979692246e-88,6.313668766422421e-23,6.259664573390117e-28
846.0,3.2688118532779253e-93,4.9063674463031174e-24,2.0169543939097846e-27
847.0,4.587943778667707e-99,9.105972912640802e-24,2.165543851605432e-26
848.0,4.232850547231442e-88,9.220939809168513e-25,7.403491724520026e-27
849.0,4.029474317436789e-89,6.910043622847805e-23,6.537455943378264e-26
850.0,5.209498243834981e-94,5.09e-23,4.494510350018471e-28
851.0,2.927647671907135e-94,1.8641898880789765e-24,2.6696591655714733e-27
852.0,7.513028792842424e-90,4.251077583151715e-24,4.504300723584799e-28
853.0,4.189338306869222e-89,4.309132252261197e-23,2.302748852508955e-27
854.0,8.511231893977538e-95,6.318035196664486e-23,2.5863518910249665e-26
855.0,5.466001272772138e-91,2.1348004060595872e-24,1.3843046716047493e-27
856.0,1.2288206884666116e-90,2.0785193430428822e-24,1.600713822991799e-28
857.0,5.974634542593317e-90,4.84646595105943e-24,5.48509098811339e-28
858.0,1.3647628587700361e-95,3.969772601282006e-23,5.482590405983118e-28
859.0,7.413348783119893e-92,6.521930858579808e-23,6.50222398035564e-27
860.0,1.6409730059279113e-91,1.0085620452854114e-23,1.0580699632816397e-26
861.0,7.994804636976771e-91,9.950296898403946e-26,3.6724296652792345e-27
862.0,2.1304567910456674e-96,3.4675115124166807e-23,1.7098309716552633e-27
863.0,1.0368255047540863e-92,2.4295406524247987e-25,2.6977910884353443e-27
864.0,2.211938081393304e-92,4.778370939099583e-23,4.5152454902477145e-27
865.0,8.824105931486278e-92,7.571292991646412e-25,1.0779725849088375e-26
866.0,3.241529332408608e-97,3.4969977238240464e-25,1.6021835448162202e-28
867.0,1.4839447209955113e-93,2.1786514679277373e-24,1.2777954056871857e-27
868.0,3.0038741354193276e-93,1.9749566840124024e-24,1.9290820922835237e-26
869.0,8.03732447750547e-99,3.59825732038697e-25,2.29621408858908e-26
870.0,2.0699206169534916e-95,6.100080150638043e-24,1.380451409929989e-27
871.0,2.1539682957568875e-94,4.456507448047548e-25,1.934989328909617e-27
872.0,4.1009445298184263e-94,6.558989192070663e-24,7.094835520627988e-27
873.0,2.801539728158731e-93,1.530086772455926e-23,9.458996218949841e-27
874.0,6.733913698168807e-96,1.2770373695261867e-24,1.534008618526754e-27
875.0,3.144038723031495e-95,1.0978863356469172e-24,1.9589599928214267e-27
876.0,5.614686076246109e-95,5.0249879457010375e-24,2.160337838677084e-27
877.0,4.1613115692855735e-94,6.5822577415873636e-24,9.240067373118984e-28
878.0,2.7342424312461305e-94,7.628896956613652e-24,1.1425265079979567e-27
879.0,1.3071732932066876e-94,4.6000465747674394e-24,1.232133351778209e-27
880.0,1.4367792778539907e-95,1.2931909547751185e-24,4.642830692246133e-28
881.0,5.256158849876453e-95,8.219771250048422e-25,2.047148144949702e-28
882.0,3.3133907476544854e-95,4.62e-24,1.9266594607628992e-27
883.0,1.3706226454325184e-95,3.1388097120690556e-23,1.6796532568020078e-28
884.0,2.939621599928946e-96,1.5644555097609682e-23,2.0179844452138846e-28
885.0,6.461256399282754e-96,5.969668753645635e-24,2.9663807019901948e-27
886.0,3.832095023516266e-96,2.1736941092973897e-25,2.4021147149091418e-28
887.0,1.2029336477497782e-96,4.163502951843044e-25,1.6518657948432924e-28
888.0,5.061084409318147e-97,2.095002258704257e-23,1.4895445715515527e-27
889.0,7.68660486498414e-97,3.620259039568936e-24,2.109462672373642e-28
890.0,4.147334221018657e-97,2.4876905158555707e-24,3.7658974269239726e-28
891.0,6.08063577053176e-98,1.5015308073347475e-23,2.8426202455823423e-28
892.0,7.971028479328487e-98,1.359699485251402e-25,3.1957746559607895e-28
893.0,8.764776981618831e-98,1.1699999999999998e-23,7.52939125176192e-28
894.0,4.022066534565666e-98,4.942484968128862e-24,1.1530604994519166e-27
895.0,3.3507175455588332e-99,2.233358498879804e-24,3.045212303164688e-28
896.0,1.1858236026219675e-98,4.1565980251551516e-24,7.075997989052407e-28
897.0,1.1661467479324798e-98,5.018221735642067e-24,3.96972269115005e-28
898.0,8.388079997646835e-99,4.097526310603161e-24,6.574094326958956e-28
899.0,5.1146925159688725e-99,3.663711676182081e-24,1.924818289085401e-27
900.0,1.84130503429091e-99,1.57845618474226e-24,1.8016798538330668e-28
901.0,2.45769016877228e-70,1.7831054324801476e-24,2.2360661031100326e-28
902.0,5.0035010348635266e-70,2.233915094606462e-24,2.5099556577193666e-27
903.0,7.549311900954773e-70,1.8760889881833494e-23,3.127160455157531e-28
904.0,1.009512276704602e-69,4.021863375013534e-24,4.215963223785465e-27
905.0,1.2640933633137267e-69,1.6936556859346268e-25,2.5733645847995606e-27
906.0,1.5186744499228513e-69,6.795207730921698e-24,2.9192563564534294e-27
907.0,1.773255536531976e-69,6.2119313109050195e-25,5.260438974815962e-28
908.0,2.0278366231411008e-69,3.3655625002912876e-24,5.500597550093726e-28
909.0,2.2824177097502254e-69,3.351153612843497e-24,7.917199635271694e-27
910.0,2.5369987963593503e-69,7.918229510679185e-25,5.960820062343449e-28
911.0,2.7915798829684746e-69,2.823756560052598e-25,1.3793642502239492e-27
912.0,3.0461609695775995e-69,3.365479792082924e-24,9.46945396886416e-27
913.0,3.300742056186724e-69,6.073601482184204e-24,1.6991212703039513e-27
914.0,3.5553231427958487e-69,1.540688173604527e-24,2.0741009357568336e-28
915.0,3.8099042294049736e-69,6.960638682443225e-25,5.270732322612713e-28
916.0,4.064485316014098e-69,3.1213207565828886e-24,9.18165325059162e-28
917.0,4.319066402623223e-69,5.859131290444484e-25,1.4185791059814713e-27
918.0,4.5736474892323477e-69,2.46e-24,6.548663575700157e-28
919.0,4.828228575841472e-69,6.961922563082007e-25,8.857739478079914e-28
920.0,5.082809662450596e-69,3.631693278690009e-25,2.1396942228117237e-28
921.0,5.337390749059722e-69,1.0564960276223195e-24,1.707456843128554e-28
922.0,5.591971835668846e-69,2.5514262202995683e-24,2.946810838222586e-28
923.0,5.84655292227797e-69,7.81298332109447e-25,2.8763830126189826e-27
924.0,6.101134008887096e-69,8.107508942434023e-24,1.1406188326953296e-27
925.0,6.35571509549622e-69,1.281950878587956e-23,1.8248563813146555e-26
926.0,6.610296182105345e-69,7.472991973487769e-25,2.09132181275008e-27
927.0,6.86487726871447e-69,1.670175157820132e-24,1.1326116291834597e-28
928.0,7.119458355323594e-69,4.4094852598194235e-24,5.81938590787715e-27
929.0,7.374039441932719e-69,6.1326703440056566e-24,1.0646096199723983e-27
930.0,7.628620528541844e-69,8.40408947349577e-24,1.5566965586451162e-28
931.0,7.883201615150968e-69,1.0583225613679718e-23,1.1635568934971013e-28
932.0,8.137782701760093e-69,2.4349489074942437e-24,4.108270313529984e-28
933.0,8.392363788369217e-69,2.3343914965209605e-24,9.576864008896574e-28
934.0,8.646944874978343e-69,2.0332369014964132e-24,3.1291337209383764e-27
935.0,8.901525961587467e-69,2.74485167196474e-24,4.002882811409448e-27
936.0,9.156107048196591e-69,6.679045579985015e-24,2.4478153679237472e-27
937.0,9.410688134805716e-69,4.851069859889148e-25,1.5484929618766132e-28
938.0,9.66526922141484e-69,1.7207558749287664e-24,2.4355345226796216e-27
939.0,9.919850308023966e-69,1.4145277834375763e-24,9.473377336886176e-28
940.0,1.017443139463309e-68,2.7022826554334793e-24,2.308120041135032e-28
941.0,1.0429012481242215e-68,3.901892680046983e-24,1.2281607661052872e-28
942.0,1.068359356785134e-68,4.8298302299033094e-24,4.0170488990586287e-28
943.0,1.0938174654460464e-68,3.63e-25,6.259618598717873e-28
944.0,1.119275574106959e-68,1.098419862292037e-24,1.267855410038161e-27
945.0,1.1447336827678715e-68,7.32889387312687e-24,5.617805271723299e-28
946.0,1.1701917914287838e-68,5.4296240369643615e-24,1.7051171809421337e-26
947.0,1.1956499000896963e-68,3.403842438353285e-24,1.3381746694012748e-27
948.0,1.1979933937433079e-68,2.3634772597937036e-24,5.927041179388092e-28
949.0,1.1978716367297162e-68,4.553968380601371e-24,1.5936501974194424e-28
950.0,9.028801924758668e-69,4.721488482875246e-24,1.532910178695881e-26
951.0,6.078887482220174e-69,4.427643071868722e-24,6.306422905173466e-28
